Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
Wordplay (2006),"Mariachi, El (1992)",Superfast! (2015),Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),The Boss Baby (2017),Everest (1998),In & Out (1997),Resident Evil (2002),Unknown (2006),"Strange Love of Martha Ivers, The (1946)","First Beautiful Thing, The (La prima cosa bella) (2010)",Resident Evil (2002),About Time (2013),"Muppets, The (2011)","Tiger and the Snow, The (La tigre e la neve) (2005)",Resident Evil (2002),Resident Evil (2002),About Time (2013),Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979)
Pirates of Silicon Valley (1999),Back to the Future Part III (1990),Too Funny to Fail: The Life and Death of The Dana Carvey Show (2017),Miss Congeniality 2: Armed and Fabulous (2005),The Boss Baby (2017),D.A.R.Y.L. (1985),Captain America: The Winter Soldier (2014),Cold Comfort Farm (1995),Unknown (2006),Interstate 60 (2002),"Stranger, The (1946)",About Time (2013),Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),Last Action Hero (1993),Gigi (1958),Inglourious Basterds (2009),Sleepaway Camp (1983),Guardians of the Galaxy 2 (2017),They Came Together (2014),Miss Congeniality 2: Armed and Fabulous (2005)
Everest (1998),Tom Horn (1980),The OA,Freeway (1996),Anomalisa (2015),"Jungle Book, The (1994)",300 (2007),Orgazmo (1997),We Need to Talk About Kevin (2011),Flesh and Bone (1993),Down by Law (1986),Unknown (2006),Guardians of the Galaxy 2 (2017),Interstate 60 (2002),"Hard Day's Night, A (1964)",Exodus (1960),Blood for Dracula (Andy Warhol's Dracula) (1974),Until the End of the World (Bis ans Ende der Welt) (1991),Operation 'Y' & Other Shurik's Adventures (1965),Guardians of the Galaxy 2 (2017)
"Wild Parrots of Telegraph Hill, The (2003)",Lonely Are the Brave (1962),Generation Iron 2,"Net, The (1995)",Ferdinand (2017),"Goonies, The (1985)",Where the Wild Things Are (2009),"First Beautiful Thing, The (La prima cosa bella) (2010)",Freeway (1996),Donnie Darko (2001),Johnny Eager (1942),We Need to Talk About Kevin (2011),"Net, The (1995)",Knights of Badassdom (2013),White Christmas (1954),Malèna (2000),Vacancy (2007),D.A.R.Y.L. (1985),Breathless (1983),Last Action Hero (1993)
Devil's Playground (2002),Pale Rider (1985),Cosmos,Operation 'Y' & Other Shurik's Adventures (1965),Daria: Is It Fall Yet? (2000),Ferdinand (2017),Underworld: Awakening (2012),Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),"Net, The (1995)",Between Your Legs (Entre las piernas) (1999),Key Largo (1948),Freeway (1996),Last Action Hero (1993),Anomalisa (2015),"New York, New York (1977)",Land and Freedom (Tierra y libertad) (1995),Piranha (1978),Terminator Salvation (2009),It's Complicated (2009),Until the End of the World (Bis ans Ende der Welt) (1991)
What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004),The Dark Valley (2014),The Putin Interviews (2017),Eastern Promises (2007),5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),"Water Horse: Legend of the Deep, The (2007)",I Am Legend (2007),"Planes, Trains & Automobiles (1987)",Breathless (1983),Fanny and Alexander (Fanny och Alexander) (1982),High and Low (Tengoku to jigoku) (1963),Pirates of Silicon Valley (1999),Breathless (1983),Made in Heaven (1987),Everybody's Famous! (Iedereen beroemd!) (2000),"Ascent, The (Voskhozhdeniye) (1977)",Rawhead Rex (1986),"Final Cut, The (2004)","Tiger and the Snow, The (La tigre e la neve) (2005)",Interstate 60 (2002)
"Two Escobars, The (2010)",There Will Be Blood (2007),Serving in Silence: The Margarethe Cammermeyer Story (1995),Next of Kin (1989),Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991),"Muppets, The (2011)",Apollo 13 (1995),"Yesterday, Today and Tomorrow (Ieri, oggi, domani) (1963)",Eastern Promises (2007),Red Dragon (2002),Mulholland Drive (2001),Until the End of the World (Bis ans Ende der Welt) (1991),Terminator Salvation (2009),"Goonies, The (1985)",The Last Five Years (2014),Dear John (2010),Evil Dead (2013),Freaked (1993),"Walk in the Clouds, A (1995)",Knights of Badassdom (2013)
Dogtown and Z-Boyz (2001),Trinity and Sartana Are Coming (1972),Green Room (2015),Spy (2015),Boniface's Holiday (1965),Yongary: Monster from the Deep (1967),RoboCop (2014),Miss Congeniality 2: Armed and Fabulous (2005),Terminator Salvation (2009),"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Born to Kill (1947),Summer of Sam (1999),Next of Kin (1989),"Water Horse: Legend of the Deep, The (2007)","Pajama Game, The (1957)","Tuskegee Airmen, The (1995)",Reptilicus (1961),Piranha (1978),40 Days and 40 Nights (2002),D.A.R.Y.L. (1985)
"Gleaners & I, The (Les glaneurs et la glaneuse) (2000)",Nevada Smith (1966),Hyena Road,"Man, The (2005)",Justice League: The New Frontier (2008) ,"NeverEnding Story III, The (1994)",Gravity (2013),Freeway (1996),Best Seller (1987),Sicario (2015),"Killing, The (1956)",Interstate 60 (2002),Ride Along (2014),Evan Almighty (2007),Moulin Rouge (2001),To Be or Not to Be (1942),Warm Bodies (2013),X-Men: Days of Future Past (2014),Brokeback Mountain (2005),Terminator Salvation (2009)
Louis Theroux: Law & Disorder (2008),Paint Your Wagon (1969),T2 3-D: Battle Across Time (1996),Biker Boyz (2003),Bunny (1998),Daddy Day Camp (2007),Class Action (1991),They Came Together (2014),"Final Cut, The (2004)",Saw VI (2009),Fury (1936),Breathless (1983),Swelter (2014),Fanny and Alexander (Fanny och Alexander) (1982),Reefer Madness: The Movie Musical (2005),300 (2007),Southbound (2016),Midnight Special (2015),"Jungle Book, The (1994)","Jungle Book, The (1994)"
